###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1
InFkT_iPh16e_5397.jpg		no	7:56	8:01	475833	480833	5	Das Hermannsdenkmal im Teutoburger Wald	Detmold	Hiddesen	23.4.26 (Do) 11:05		
InFmC_iPh16e_5399.jpg		no	8:01	8:06	480833	485833	5	Das Hermannsdenkmal im Teutoburger Wald	Detmold	Hiddesen	23.4.26 (Do) 11:05		
InFtY_iPh16e_0100.mp4		yes	8:06	8:14	485833	494207	8374	Das Hermannsdenkmal im Teutoburger Wald		0000:00:00 00:00:00			
IoYcF_iPh16e_0108.mp4		yes	8:14	8:31	494207	510541	16333	Windräder bei Atteln südlich von Paderborn		0000:00:00 00:00:00			
JbDzV_iPh16e_5406.jpg	x	no	8:31	8:36	510541	515541	5	Morgenspaziergang am Rothaarkamm südwestlich von Winterberg	Schmallenberg	Jagdhaus	26.4.26 (So) 7:10		
JbFuN_iPh16e_0110.mp4		yes	8:36	8:51	515541	531157	15617	Morgenspaziergang am Rothaarkamm südwestlich von Winterberg		0000:00:00 00:00:00			
JbFyC_iPh16e_5408.jpg		no	8:51	8:56	531157	536157	5	Morgenspaziergang am Rothaarkamm südwestlich von Winterberg	Schmallenberg	Jagdhaus	26.4.26 (So) 7:31		
JbGgS_iPh16e_5410.jpg		no	8:56	9:01	536157	541157	5	Morgenspaziergang am Rothaarkamm südwestlich von Winterberg	Schmallenberg	Jagdhaus	26.4.26 (So) 7:35		
JdEvH_iPh16e_5414.jpg		no	9:01	9:06	541157	546157	5	Auf dem Heidkopf bei Hallenberg südlich von Winterberg	Hallenberg		26.4.26 (So) 17:05		
JdEzV_iPh16e_5417.jpg		no	9:06	9:11	546157	551157	5	Auf dem Heidkopf bei Hallenberg südlich von Winterberg	Hallenberg		26.4.26 (So) 17:07		
JgLeK_M50_0260.jpg	x	no	9:11	9:16	551157	556157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 8:55		
JgLiS_M50_0266.jpg		no	9:16	9:21	556157	561157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 8:57		
JgLpT_M50_0278.jpg		no	9:21	9:26	561157	566157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 9:00		
JgLtK_M50_0291.jpg		no	9:26	9:31	566157	571157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 9:02		
JgLtQ_M50_0293.jpg		no	9:31	9:36	571157	576157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 9:02		
JgLvG_M50_0295.jpg		no	9:36	9:41	576157	581157	5	An der Freilichtbühne Hallenberg südlich von Winterberg	Hallenberg		27.4.26 (Mo) 9:03		
JgVlV_iPh16e_5421.jpg	x	no	9:41	9:46	581157	586157	5	Am Kahlen Asten bei Winterberg	Winterberg	Kahler Asten	27.4.26 (Mo) 10:51		
JgVwE_iPh16e_5422.jpg		no	9:46	9:51	586157	591157	5	Auf dem Kahlen Asten bei Winterberg	Winterberg	Kahler Asten	27.4.26 (Mo) 10:56		
JgWnA_iPh16e_8240.jpg		no	9:51	9:56	591157	596157	5	Auf dem Kahlen Asten bei Winterberg	Winterberg	Kahler Asten	27.4.26 (Mo) 11:03		
JgWtE_iPh16e_5426.jpg		no	9:56	10:01	596157	601157	5	Auf dem Kahlen Asten bei Winterberg	Winterberg	Kahler Asten	27.4.26 (Mo) 11:06		
KjUzY_iPh16e_0113.mp4		yes	10:01	10:10	601157	610341	9183	Morgenspaziergang in Oberthulba westlich von Bad Kissingen		0000:00:00 00:00:00			
KjVeV_iPh16e_5430.jpg	x	no	10:10	10:15	610341	615341	5	Morgenspaziergang in Oberthulba westlich von Bad Kissingen	Oberthulba		2.5.26 (Sa) 8:23		
KjVlO_iPh16e_5431.jpg		no	10:15	10:20	615341	620341	5	Morgenspaziergang in Oberthulba westlich von Bad Kissingen	Oberthulba		2.5.26 (Sa) 8:26		
KoSqD_iPh16e_5432.jpg	x	no	10:20	10:25	620341	625341	5	Am Gelben Berg südlich von Gunzenhausen	Sammenheim	Gelber Berg	3.5.26 (So) 8:19		
KoStO_iPh16e_0114.mp4		yes	10:25	10:49	625341	648991	23.65	Am Gelben Berg südlich von Gunzenhausen		0000:00:00 00:00:00			
KoSwT_iPh16e_5433.jpg		no	10:49	10:54	648991	653991	5	Am Gelben Berg südlich von Gunzenhausen	Sammenheim	Gelber Berg	3.5.26 (So) 8:22		
